type,name,res_id,src,value,fuzzy
error,gnuhealth.dose.unit,0,The Unit must be unique !,La Unidad debe ser única !,0
error,gnuhealth.drug.form,0,The Unit must be unique !,La Forma debe ser única !,0
error,gnuhealth.drug.route,0,The Name must be unique !,El nombre debe ser único !,0
error,gnuhealth.ethnicity,0,The Name must be unique !,El nombre debe ser único,0
error,gnuhealth.family,0,The Family Code must be unique !,El código familiar debe ser único !,0
error,gnuhealth.hospital.or,0,The Operating Room code must be unique per Health Center,El código del quirófano debe ser único por Cento de Salud,0
error,gnuhealth.medication.dosage,0,The Unit must be unique !,La unidad debe ser única,0
error,gnuhealth.occupation,0,The Name must be unique !,El Nombre debe ser único,0
error,gnuhealth.operational_area,0,The operational area must be unique !,El área operacional debe ser único !,0
error,gnuhealth.operational_sector,0,The operational sector must be unique in each operational area!,El sector Operacional debe ser único en cada área operacional !,0
error,gnuhealth.pathology,0,The disease code must be unique,El código de la enfermedad debe ser único !,0
error,gnuhealth.pathology.category,0,You can not create recursive categories!,No se pueden generar categorías recursivas !,0
error,gnuhealth.patient,0,The Patient already exists !,El paciente ya existe !,0
error,gnuhealth.specialty,0,The Specialty must be unique !,El código de la especialidad debe ser único !,0
error,gnuhealth.vaccination,0,EXPIRED VACCINE. PLEASE INFORM THE LOCAL HEALTH AUTHORITIES AND DO NOT USE IT !!!,VACUNA VENCIDA. POR FAVOR NO LA USE Y AVISE A LAS AUTORIDADES DE SALUD !!,0
error,gnuhealth.vaccination,0,This vaccine dose has been given already to the patient,Esta dosis ya ha sido administrada al paciente,0
error,party.party,0,The Party ID must be unique,EL ID debe ser único !,0
field,"gnuhealth.appointment,appointment_date",0,Date and Time,Fecha y hora,0
field,"gnuhealth.appointment,appointment_type",0,Type,Tipo,0
field,"gnuhealth.appointment,comments",0,Comments,Comentarios,0
field,"gnuhealth.appointment,consultations",0,Consultation Services,Servicios de consulta,0
field,"gnuhealth.appointment,doctor",0,Physician,Doctor,0
field,"gnuhealth.appointment,institution",0,Health Center,Centro de Salud,0
field,"gnuhealth.appointment,name",0,Appointment ID,Id cita,0
field,"gnuhealth.appointment,patient",0,Patient,Paciente,0
field,"gnuhealth.appointment,patient_status",0,Patient status,Estado del paciente,0
field,"gnuhealth.appointment,rec_name",0,Name,Nombre,0
field,"gnuhealth.appointment,speciality",0,Specialty,Especialidad,0
field,"gnuhealth.appointment,urgency",0,Urgency Level,Nivel de urgencia,0
field,"gnuhealth.directions,comments",0,Comments,Comentarios,0
field,"gnuhealth.directions,name",0,Patient,ID del Paciente,0
field,"gnuhealth.directions,procedure",0,Procedure,Procedimiento,0
field,"gnuhealth.directions,rec_name",0,Name,Nombre,0
field,"gnuhealth.dose.unit,desc",0,Description,Descripción,0
field,"gnuhealth.dose.unit,name",0,Unit,Unidad,0
field,"gnuhealth.dose.unit,rec_name",0,Name,Nombre,0
field,"gnuhealth.drug.form,code",0,Code,Código,0
