type,name,res_id,src,value,fuzzy
field,"gnuhealth.appointment,appointment_validity_date",0,Validity Date,Fecha de validez,0
field,"gnuhealth.appointment,no_invoice",0,Invoice exempt,Exempto de facturación,0
field,"gnuhealth.appointment,validity_status",0,Status,Estado,0
field,"gnuhealth.patient.lab.test,invoice_status",0,Invoice Status,Estado de la factura,0
field,"gnuhealth.patient.lab.test,no_invoice",0,Invoice exempt,Exempto de facturación,0
field,"gnuhealth.prescription.order,invoice_status",0,Invoice Status,Estado de la factura,0
field,"gnuhealth.prescription.order,no_invoice",0,Invoice exempt,Exempto de facturación,0
model,"ir.action,name",action_create_appointment_invoice,Create Invoice,Crear Facturas,0
model,"ir.action,name",action_create_lab_invoice,Create Lab Invoice,Crear Factura de laboratorio,0
model,"ir.action,name",action_create_prescription_invoice,Create Prescription Invoice,Crear las factura de receta,0
model,"ir.action,name",gnuhealth.action_invoiced_appointment,Invoiced Appointments,Citas facturadas,0
model,"ir.action,name",gnuhealth.action_invoiced_labtest_request,Invoiced Lab Test Requests,Pruebas de laboratorio facturadas,0
model,"ir.action,name",gnuhealth.action_invoiced_prescription,Invoiced Prescriptions,Recetas facturadas,0
model,"ir.action,name",gnuhealth.action_tobeinvoiced_appointment,Appointments to be invoiced,Citas por facturar,0
model,"ir.action,name",gnuhealth.action_tobeinvoiced_labtest_request,Lab Requests to be invoiced,Pruebas de laboratorio por facturar,0
model,"ir.action,name",gnuhealth.action_tobeinvoiced_prescription,Prescriptions to be invoiced,Recetas por facturar,0
model,"ir.action,name",gnuhealth.action_today_tobeinvoiced_appointment,Today's Appointments to be Invocied,Citas de hoy por facturar,0
model,"ir.action,name",gnuhealth.action_today_tobeinvoiced_labtest_request,Today's Lab Requests to be invoiced,Pruebas de laboratorio de hoy por facturar,0
model,"ir.ui.menu,name",gnuhealth_invoice_menu,Invoices,Facturas,0
model,"ir.ui.menu,name",gnuhealth_invoiced_appointment,Invoiced Appointments,Citas facturadas,0
model,"ir.ui.menu,name",gnuhealth_invoiced_labtest_request,Invoiced Lab Test Requests,Pruebas de laboratorio facturadas,0
model,"ir.ui.menu,name",gnuhealth_tobeinvoiced_appointment,Appointments to be invoiced,Citas por facturar,0
model,"ir.ui.menu,name",gnuhealth_tobeinvoiced_labtest_request,Lab Requests to be invoiced,Pruebas de laboratorio por facturar,0
model,"ir.ui.menu,name",gnuhealth_tobeinvoiced_prescription,Prescriptions to be invoiced,Recetas por facturar,0
model,"ir.ui.menu,name",gnuhealth_today_tobeinvoiced_appointment,Today's Appointments to be Invocied,Citas de hoy por facturar,0
model,"ir.ui.menu,name",gnuhealth_today_tobeinvoiced_labtest_request,Today's Lab Requests to be invoiced,Pruebas de laboratorio de hoy por facturar,0
model,"gnuhealth.appointment.invoice.init,name",0,Make Medical Appointment Invoice Init,Generar Factura por cita,0
model,"gnuhealth.lab.test.invoice.init,name",0,Create Test Invoice Init,Crear Facturas por Laboratorio,0
model,"gnuhealth.prescription.invoice.init,name",0,Make Medical Prescription Invoice Init,Generar Factura por cita,0
selection,"gnuhealth.appointment,validity_status",0,Invoiced,Facturado,0
selection,"gnuhealth.appointment,validity_status",0,To be Invoiced,Por facturar,0
selection,"gnuhealth.patient.lab.test,invoice_status",0,Invoiced,Facturado,0
selection,"gnuhealth.patient.lab.test,invoice_status",0,To be Invoiced,Por facturar,0
selection,"gnuhealth.prescription.order,invoice_status",0,Invoiced,Facturado,0
selection,"gnuhealth.prescription.order,invoice_status",0,To be Invoiced,Por facturar,0
view,gnuhealth.appointment.invoice.init,0,Create invoices,Crear Facturas,0
view,gnuhealth.appointment.invoice.init,0,Do you want to create the invoice(s) ?,Quiere generar las facturas ?,0
view,gnuhealth.lab.test.invoice.init,0,Create Lab Invoices,Crear facturas por laboratorio,0
view,gnuhealth.lab.test.invoice.init,0,Do you want to generate the invoice(s) ?,Quiere generar las facturas ?,0
view,gnuhealth.prescription.invoice.init,0,Create prescription invoices,Crear las facturas de recetas,0
view,gnuhealth.prescription.invoice.init,0,Do you want to create the prescription invoice(s) ?,Quiere generar las facturas asociadas a las recetas ?,0
wizard_button,"gnuhealth.appointment.invoice,init,create",0,Create Invoices,Crear Facturas,0
wizard_button,"gnuhealth.appointment.invoice,init,end",0,Cancel,Cancelar,0
wizard_button,"gnuhealth.lab.test.invoice,init,create",0,Create Lab Invoice,Crear Factura de laboratorio,0
wizard_button,"gnuhealth.lab.test.invoice,init,end",0,Cancel,Cancelar,0
wizard_button,"gnuhealth.prescription.invoice,init,create",0,Create Prescription Invoices,Crear las facturas de recetas,0
wizard_button,"gnuhealth.prescription.invoice,init,end",0,Cancel,Cancelar,0
