type,name,res_id,src,value,fuzzy
error,gnuhealth.lab,0,The test ID code must be unique,El código de la prueba debe ser único,0
error,gnuhealth.lab.test.units,0,The Unit name must be unique,El código de la prueba debe ser único,0
error,gnuhealth.lab.test_type,0,The Lab Test code must be unique,El código de la prueba debe ser único,0
field,"gnuhealth.lab,critearea",0,Test Cases,Pruebas,0
field,"gnuhealth.lab,date_analysis",0,Date of the Analysis,Fecha del análisis,0
field,"gnuhealth.lab,date_requested",0,Date requested,Fecha del pedido,0
field,"gnuhealth.lab,diagnosis",0,Diagnosis,Diagnóstico,0
field,"gnuhealth.lab,name",0,ID,ID,0
field,"gnuhealth.lab,pathologist",0,Pathologist,Patólogo,0
field,"gnuhealth.lab,patient",0,Patient,Paciente,0
field,"gnuhealth.lab,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.lab,requestor",0,Physician,Doctor,0
field,"gnuhealth.lab,results",0,Results,Resultados,0
field,"gnuhealth.lab,test",0,Test type,Tipo de prueba,0
field,"gnuhealth.lab.test.units,code",0,Code,Código,0
field,"gnuhealth.lab.test.units,name",0,Unit,Unidad,0
field,"gnuhealth.lab.test.units,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.patient,lab_test_ids",0,Lab Tests Required,Pruebas requeridas,0
field,"gnuhealth.patient.lab.test,date",0,Date,Fecha,0
field,"gnuhealth.patient.lab.test,doctor_id",0,Doctor,Doctor,0
field,"gnuhealth.patient.lab.test,name",0,Test Type,Tipo de prueba,0
field,"gnuhealth.patient.lab.test,patient_id",0,Patient,Paciente,0
field,"gnuhealth.patient.lab.test,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.patient.lab.test,state",0,State,Estado,0
field,"gnuhealth.lab.test_type,code",0,Code,Código,0
field,"gnuhealth.lab.test_type,critearea",0,Test Cases,Pruebas,0
field,"gnuhealth.lab.test_type,info",0,Description,Descripción,0
field,"gnuhealth.lab.test_type,name",0,Test,Prueba,0
field,"gnuhealth.lab.test_type,product_id",0,Service,Servicio,0
field,"gnuhealth.lab.test_type,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.lab.test.critearea,gnuhealth.lab_id",0,Test Cases,Pruebas,0
field,"gnuhealth.lab.test.critearea,name",0,Test,Prueba,0
field,"gnuhealth.lab.test.critearea,normal_range",0,Normal Range,Rango normal,0
field,"gnuhealth.lab.test.critearea,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.lab.test.critearea,result",0,Result,Resultado,0
field,"gnuhealth.lab.test.critearea,sequence",0,Sequence,Secuencia,0
field,"gnuhealth.lab.test.critearea,test_type_id",0,Test type,Tipo de prueba,0
field,"gnuhealth.lab.test.critearea,units",0,Units,Unidades,0
help,"gnuhealth.lab,name",0,Lab result ID,ID del resultado,0
help,"gnuhealth.lab,pathologist",0,Pathologist,Patólogo,0
help,"gnuhealth.lab,patient",0,Patient ID,ID del paciente,0
help,"gnuhealth.lab,requestor",0,Doctor who requested the test,Doctor que pidió el análisis,0
help,"gnuhealth.lab,test",0,Lab test type,Tipo de prueba,0
help,"gnuhealth.patient.lab.test,doctor_id",0,Doctor who Request the lab test.,Doctor que pidió el análisis,0
help,"gnuhealth.lab.test_type,code",0,Short name - code for the test,Abreviación - código de la prueba,0
help,"gnuhealth.lab.test_type,name",0,"Test type, eg X-Ray, hemogram,biopsy...","Tipo de prueba, ej Radiología, hemograma, biopsia...",0
model,"ir.action,name",act_create_lab_test,Create Lab Test,Generar análisis,0
model,"ir.action,name",act_patient_lab_history_form1,Lab Reports,Reportes de Laboratorio,0
model,"ir.action,name",gnuhealth.action_form_test,New Type of Lab test,Nuevo tipo de prueba de laboratorio,0
model,"ir.action,name",gnuhealth.action_lab_test_request,Lab Requests,Pedidos de Laboratorio,0
model,"ir.action,name",gnuhealth.action_lab_unit,Lab Testing Units,Unidades de la prueba de laboratorio,0
model,"ir.action,name",gnuhealth.action_list_test,List of Lab tests,Listado de Pruebas de laboratorio,0
model,"ir.action,name",gnuhealth.action_tree_lab,Lab Tests Results,Resultados de las pruebas,0
model,"ir.action,name",report_patient_labtest,Lab Tests,Pruebas de laboratorio,0
model,"ir.action,name",report_patient_labtest_report,Lab Report,Reporte de Laboratorio,0
model,"ir.sequence,name",seq_gnuhealth_lab_test,Lab Test,Prueba de laboratorio,0
model,"ir.sequence.type,name",seq_type_gnuhealth_lab_test,Lab Test,Prueba de laboratorio,0
model,"ir.ui.menu,name",gnuhealth.action_lab_tree,Lab Tests Results,Resultados de las pruebas,0
model,"ir.ui.menu,name",gnuhealth.conf_laboratory,Laboratory,Laboratorio,0
model,"ir.ui.menu,name",gnuhealth.conf_test,New Type of Lab test,Nuevo tipo de prueba de laboratorio,0
model,"ir.ui.menu,name",gnuhealth.laboratory_menu,Laboratory,Laboratorio,0
model,"ir.ui.menu,name",gnuhealth.labtest_request,Lab Requests,Pedidos de Laboratorio,0
model,"ir.ui.menu,name",gnuhealth.labtest_unit,Lab Testing Units,Unidades de la prueba de laboratorio,0
model,"ir.ui.menu,name",menu_gnuhealth_action_list_test,List of Lab tests,Listado de Pruebas de laboratorio,0
model,"gnuhealth.lab,name",0,Lab Test,Prueba de laboratorio,0
model,"gnuhealth.lab.test.create.init,name",0,Create Test Report Init,Generar Reporte de Análisis,0
model,"gnuhealth.lab.test.units,name",0,Lab Test Units,Unidades de la prueba,0
model,"gnuhealth.patient.lab.test,name",0,Patient Lab Test,Prueba de laboratorio del paciente,0
model,"gnuhealth.lab.test_type,name",0,Type of Lab test,Tipo de prueba de laboratorio,0
model,"gnuhealth.lab.test.critearea,name",0,Lab Test Critearea,Criterios de Prueba de Laboratorio,0
model,"product.category,name",product_category_labservices0,Lab Services,Servicios de Laboratorio,0
model,"product.template,name",product_product_bloodcounttestcharges0,Blood count test charges,Cargos por análisis de sangre,0
model,"product.template,name",product_product_endocrinology0,Endocrinology,Endocrinología,0
model,"product.template,name",product_product_haematologycharges0,Haematology Charges,Cargos por Hematología,0
model,"product.template,name",product_product_liverfunctiontestcharges0,Liver Function test charges,Cargos por pruebas de función hepática,0
model,"product.template,name",product_product_peripheralsmearexaminationcharges0,Peripheral Smear Examination Charges,Cargos por extendido periférico,0
model,"product.template,name",product_product_renalfunctiontestcharges0,Renal Function test charges,Cargos por pruebas de función renal,0
model,"product.template,name",product_product_semenanalysischarges0,Semen Analysis Charges,Cargos por Análisis de Semen,0
model,"product.template,name",product_product_stoolexaminationcharges0,Stool Examination Charges,Cargos por pruebas de materia fecal,0
model,"product.template,name",product_product_urineanalysischarges0,Urine Analysis charges,Cargos por el análisis de orina,0
selection,"gnuhealth.patient.lab.test,state",0,Cancel,Cancelar,0
selection,"gnuhealth.patient.lab.test,state",0,Draft,Borrador,0
selection,"gnuhealth.patient.lab.test,state",0,Tested,Analizado,0
view,gnuhealth.lab,0,Extra Info,Información Adicional,0
view,gnuhealth.lab,0,Lab test type,Tipo de prueba,0
view,gnuhealth.lab,0,Laboratory Test,Prueba de laboratorio,0
view,gnuhealth.lab,0,Main Info,Información Principal,0
view,gnuhealth.lab,0,Test Cases,Pruebas,0
view,gnuhealth.lab.test.create.init,0,Create Lab Tests,Generar análisis,0
view,gnuhealth.lab.test.create.init,0,Create Tests,Crear análisis,0
view,gnuhealth.lab.test.create.init,0,Do you want to generate the test(s) ?,Quiere generar los tests ?,0
view,gnuhealth.lab.test.units,0,Test Unit,Unidad de la prueba,0
view,gnuhealth.patient,0,Lab Tests,Pruebas de laboratorio,0
view,gnuhealth.patient.lab.test,0,Test Requests,Pedidos de Pruebas,0
view,gnuhealth.lab.test_type,0,Extra Info,Información Adicional,0
view,gnuhealth.lab.test_type,0,Lab Test,Prueba de laboratorio,0
view,gnuhealth.lab.test_type,0,Lab test type,Tipo de prueba,0
view,gnuhealth.lab.test_type,0,Main Info,Información Principal,0
view,gnuhealth.lab.test_type,0,Test Cases,Pruebas,0
wizard_button,"gnuhealth.lab.test.create,init,create",0,Create Lab Test,Generar análisis,0
wizard_button,"gnuhealth.lab.test.create,init,end",0,Cancel,Cancelar,0
