type,name,res_id,src,value,fuzzy
error,gnuhealth.newborn,0,The Newborn ID must be unique !,El ID del Neonato debe ser único !,0
field,"gnuhealth.neonatal.apgar,apgar_activity",0,Activity,Actividad,0
field,"gnuhealth.neonatal.apgar,apgar_appearance",0,Appearance,Apariencia,0
field,"gnuhealth.neonatal.apgar,apgar_grimace",0,Grimace,Muecas,0
field,"gnuhealth.neonatal.apgar,apgar_minute",0,Minute,Minuto,0
field,"gnuhealth.neonatal.apgar,apgar_pulse",0,Pulse,Pulso,0
field,"gnuhealth.neonatal.apgar,apgar_respiration",0,Respiration,Respiración,0
field,"gnuhealth.neonatal.apgar,apgar_score",0,APGAR Score,Puntuación APGAR,0
field,"gnuhealth.neonatal.apgar,name",0,Newborn ID,ID del Neonato,0
field,"gnuhealth.neonatal.apgar,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.newborn,apgar1",0,APGAR 1st minute,APGAR minuto 1,0
field,"gnuhealth.newborn,apgar5",0,APGAR 5th minute,APGAR minuto 5,0
field,"gnuhealth.newborn,apgar_scores",0,APGAR scores,Puntuaciones de APGAR,0
field,"gnuhealth.newborn,bd",0,Stillbirth,Mortinato,0
field,"gnuhealth.newborn,birth_date",0,Date of Birth,Fecha de Nacimiento,0
field,"gnuhealth.newborn,cephalic_perimeter",0,Cephalic Perimeter,Perímetro cefálico,0
field,"gnuhealth.newborn,cod",0,Cause of death,Causa de muerte,0
field,"gnuhealth.newborn,congenital_diseases",0,Congenital diseases,Enfermedades Congénitas,0
field,"gnuhealth.newborn,died_at_delivery",0,Died at delivery room,Murió en la sala de parto,0
field,"gnuhealth.newborn,died_at_the_hospital",0,Died at the hospital,Murió en el hospital,0
field,"gnuhealth.newborn,died_being_transferred",0,Died being transferred,Murió siendo transferido,0
field,"gnuhealth.newborn,dismissed",0,Dismissed from hospital,Alta hospitalaria,0
field,"gnuhealth.newborn,length",0,Length,Longitud,0
field,"gnuhealth.newborn,meconium",0,Meconium,Meconio,0
field,"gnuhealth.newborn,medication",0,Medication,Medicamentos ,0
field,"gnuhealth.newborn,mother",0,Mother,Madre,0
field,"gnuhealth.newborn,name",0,Newborn ID,ID del Neonato,0
field,"gnuhealth.newborn,neonatal_ambiguous_genitalia",0,Ambiguous Genitalia,Genitales ambiguos,0
field,"gnuhealth.newborn,neonatal_babinski_reflex",0,Babinski Reflex,Reflejo de Babinski,0
field,"gnuhealth.newborn,neonatal_barlow",0,Positive Barlow,Barlow postivo,0
field,"gnuhealth.newborn,neonatal_blink_reflex",0,Blink Reflex,Reflejo Corneal,0
field,"gnuhealth.newborn,neonatal_erbs_palsy",0,Erbs Palsy,Parálisis de Erb,0
field,"gnuhealth.newborn,neonatal_grasp_reflex",0,Grasp Reflex,Reflejo de presión,0
field,"gnuhealth.newborn,neonatal_hematoma",0,Hematomas,Hematomas,0
field,"gnuhealth.newborn,neonatal_hernia",0,Hernia,Hernia,0
field,"gnuhealth.newborn,neonatal_moro_reflex",0,Moro Reflex,Reflejo de Moro,0
field,"gnuhealth.newborn,neonatal_ortolani",0,Positive Ortolani,Ortolani positivo,0
field,"gnuhealth.newborn,neonatal_palmar_crease",0,Transversal Palmar Crease,Surco Palmar Transversal,0
field,"gnuhealth.newborn,neonatal_polydactyly",0,Polydactyly,Polidactilia,0
field,"gnuhealth.newborn,neonatal_rooting_reflex",0,Rooting Reflex,Relfejo de Búsqueda,0
field,"gnuhealth.newborn,neonatal_stepping_reflex",0,Stepping Reflex,Reflejo del paso,0
field,"gnuhealth.newborn,neonatal_sucking_reflex",0,Sucking Reflex,Reflejo de Succión,0
field,"gnuhealth.newborn,neonatal_swimming_reflex",0,Swimming Reflex,Reflejo natatorio,0
field,"gnuhealth.newborn,neonatal_syndactyly",0,Syndactyly,Sindactilia,0
field,"gnuhealth.newborn,neonatal_talipes_equinovarus",0,Talipes Equinovarus,Talipes Equinovaro,0
field,"gnuhealth.newborn,neonatal_tonic_neck_reflex",0,Tonic Neck Reflex,Reflejo del cuello tónico,0
field,"gnuhealth.newborn,newborn_name",0,Baby's name,Nombre del Bebé,0
field,"gnuhealth.newborn,notes",0,Notes,Notas,0
field,"gnuhealth.newborn,photo",0,Picture,Foto,0
field,"gnuhealth.newborn,reanimation_aspiration",0,Aspiration,Aspiración,0
field,"gnuhealth.newborn,reanimation_intubation",0,Intubation,Intubación,0
field,"gnuhealth.newborn,reanimation_mask",0,Mask,Máscara,0
field,"gnuhealth.newborn,reanimation_oxygen",0,Oxygen,Oxígeno,0
field,"gnuhealth.newborn,reanimation_stimulation",0,Stimulation,Estimulación,0
field,"gnuhealth.newborn,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.newborn,responsible",0,Doctor in charge,Doctor a cargo,0
field,"gnuhealth.newborn,sex",0,Sex,Sexo,0
field,"gnuhealth.newborn,test_audition",0,Audition,Audición,0
field,"gnuhealth.newborn,test_billirubin",0,Billirubin,Bilirrubina,0
field,"gnuhealth.newborn,test_chagas",0,Chagas,Chagas,0
field,"gnuhealth.newborn,test_metabolic",0,"Metabolic (""heel stick screening"")",Test metabólico,0
field,"gnuhealth.newborn,test_toxo",0,Toxoplasmosis,Toxoplasmosis,0
field,"gnuhealth.newborn,test_vdrl",0,VDRL,VDRL (sífilis),0
field,"gnuhealth.newborn,tod",0,Time of Death,Hora del fallecimiento,0
field,"gnuhealth.newborn,weight",0,Weight,Peso (kg),0
field,"gnuhealth.patient,psc",0,Pediatric Symptoms Checklist,Pediatric Symptoms Checklist,0
field,"gnuhealth.patient.disease,newborn_id",0,Newborn ID,ID del Neonato,0
field,"gnuhealth.patient.medication,newborn_id",0,Newborn ID,ID del Neonato,0
field,"gnuhealth.patient.psc,evaluation_date",0,Evaluation Date,Fecha de evaluación,0
field,"gnuhealth.patient.psc,name",0,Patient ID,ID del paciente,0
field,"gnuhealth.patient.psc,notes",0,Notes,Notas,0
field,"gnuhealth.patient.psc,psc_absent_from_school",0,Absent from school,Ausente de la escuela,0
field,"gnuhealth.patient.psc,psc_aches_pains",0,Complains of aches and pains,Se queja de dolores,0
field,"gnuhealth.patient.psc,psc_act_as_younger",0,Acts younger than children his or her age,Actúa más pueril que niños de su edad,0
field,"gnuhealth.patient.psc,psc_acts_as_driven_by_motor",0,Acts as if driven by a motor,Actúa mecánicamente,0
field,"gnuhealth.patient.psc,psc_afraid_of_new_situations",0,Is afraid of new situations,Temeroso  de situaciones nuevas,0
field,"gnuhealth.patient.psc,psc_blames_others",0,Blames others for his or her troubles,Culpa a los otros por sus problemas,0
field,"gnuhealth.patient.psc,psc_daydreams_too_much",0,Daydreams too much,Tiene muchas fantasías,0
field,"gnuhealth.patient.psc,psc_distracted_easily",0,Distracted easily,Se distrae fácilmente,0
field,"gnuhealth.patient.psc,psc_does_not_get_people_feelings",0,Does not get people feelings,No aprecia los sentimientos de otros,0
field,"gnuhealth.patient.psc,psc_does_not_listen_to_rules",0,Does not listen to rules,No atiende a las reglas,0
field,"gnuhealth.patient.psc,psc_does_not_show_feelings",0,Does not show feelings,No muestra sentimientos,0
field,"gnuhealth.patient.psc,psc_down_on_self",0,Is down on him or herself,Está deprimido,0
field,"gnuhealth.patient.psc,psc_feels_hopeless",0,Feels hopeless,Se siente desesperanzado,0
field,"gnuhealth.patient.psc,psc_feels_is_bad_child",0,Feels he or she is bad,Cree que es malo,0
field,"gnuhealth.patient.psc,psc_fidgety",0,"Fidgety, unable to sit still","Inquieto, se mueve al estar sentado",0
field,"gnuhealth.patient.psc,psc_fights_with_others",0,Fights with other children,Pelea con otros niños,0
field,"gnuhealth.patient.psc,psc_gets_hurt_often",0,Gets hurt frequently,Se lastima frecuentemente,0
field,"gnuhealth.patient.psc,psc_having_less_fun",0,Seems to be having less fun,Parece divertirse menos,0
field,"gnuhealth.patient.psc,psc_irritable_angry",0,"Is irritable, angry","Irritable, enfadado",0
field,"gnuhealth.patient.psc,psc_less_interest_in_school",0,Less interested in school,Menos interés en la escuela,0
field,"gnuhealth.patient.psc,psc_less_interested_in_friends",0,Less interested in friends,Menos interesado en amigos,0
field,"gnuhealth.patient.psc,psc_refuses_to_share",0,Refuses to share,No comparte,0
field,"gnuhealth.patient.psc,psc_sad_unhappy",0,"Feels sad, unhappy",Se siente triste,0
field,"gnuhealth.patient.psc,psc_school_grades_dropping",0,School grades dropping,Baja en las calificaciones escolares,0
field,"gnuhealth.patient.psc,psc_spend_time_alone",0,Spends more time alone,Pasa más tiempo solo,0
field,"gnuhealth.patient.psc,psc_takes_things_from_others",0,Takes things that do not belong to him or her,Toma cosas de otros,0
field,"gnuhealth.patient.psc,psc_takes_unnecesary_risks",0,Takes unnecessary risks,Toma riesgos innecesarios,0
field,"gnuhealth.patient.psc,psc_teases_others",0,Teases others,Molesta a los otros,0
field,"gnuhealth.patient.psc,psc_tires_easily",0,"Tires easily, has little energy","Se cansa fácilmente, poca energía",0
field,"gnuhealth.patient.psc,psc_total",0,PSC Total,Total PSC,0
field,"gnuhealth.patient.psc,psc_trouble_concentrating",0,Has trouble concentrating,Problemas para concentrarse,0
field,"gnuhealth.patient.psc,psc_trouble_sleeping",0,Has trouble sleeping,Probleas para dormir,0
field,"gnuhealth.patient.psc,psc_trouble_with_teacher",0,Has trouble with teacher,Problemas con el profesor,0
field,"gnuhealth.patient.psc,psc_visit_doctor_finds_ok",0,Visits the doctor with doctor finding nothing wrong,Visita al doctor y éste no encuentra nada,0
field,"gnuhealth.patient.psc,psc_wants_to_be_with_parents",0,Wants to be with you more than before,Quiere estar más con usted que antes,0
field,"gnuhealth.patient.psc,psc_worries_a_lot",0,Worries a lot,Se preopcupa mucho,0
field,"gnuhealth.patient.psc,rec_name",0,Name,Nombre del campo,0
field,"gnuhealth.patient.psc,user_id",0,Healh Professional,Profesional de salud,0
help,"gnuhealth.newborn,cephalic_perimeter",0,Perimeter in centimeters (cm),Perímetro en centímetros (cm),0
help,"gnuhealth.newborn,died_being_transferred",0,The baby died being transferred to another health institution,El bebé murió siendo transferido a otra institución de salud,0
help,"gnuhealth.newborn,length",0,Perimeter in centimeters (cm),Perímetro en centímetros (cm),0
help,"gnuhealth.newborn,responsible",0,Signed by the health professional,Firmado por el profesional de salud,0
help,"gnuhealth.newborn,test_metabolic",0,"Test for Fenilketonuria, Congenital Hypothyroidism, Quistic Fibrosis, Galactosemia","Prueba para Fenilcetonuria, Hipotiroidismo congénito, Fibrosis Quística y Galactosemia",0
help,"gnuhealth.newborn,weight",0,Weight in grams (g),Peso en gramos (g),0
help,"gnuhealth.patient.psc,evaluation_date",0,Enter or select the date / ID of the appointment related to this evaluation,Introduzca o elija la fecha y la identificación de la cita relacionado con esta evaluación,0
model,"ir.action,name",gnuhealth.action_newborn,Newborn,Neonato,0
model,"ir.ui.menu,name",gnuhealth_conf_edit_newborn,Newborn,Neonato,0
model,"ir.ui.menu,name",gnuhealth_conf_neonatology,Neonatology,Neonatología,0
model,"gnuhealth.neonatal.apgar,name",0,Neonatal APGAR Score,Score APGAR Neonatal,0
model,"gnuhealth.newborn,name",0,Newborn Information,ID del Neonato,0
model,"gnuhealth.patient.psc,name",0,Pediatric Symptoms Checklist,Pediatric Symptoms Checklist,0
selection,"gnuhealth.neonatal.apgar,apgar_activity",0,None,Ninguno,0
selection,"gnuhealth.neonatal.apgar,apgar_activity",0,Some flexion,Flexiona algo,0
selection,"gnuhealth.neonatal.apgar,apgar_activity",0,flexed arms and legs,Brazos y piernas flexionados,0
selection,"gnuhealth.neonatal.apgar,apgar_appearance",0,acrocyanosis,acrocianosis,0
selection,"gnuhealth.neonatal.apgar,apgar_appearance",0,central cyanosis,cianosis central,0
selection,"gnuhealth.neonatal.apgar,apgar_appearance",0,no cyanosis,sin cianosis,0
selection,"gnuhealth.neonatal.apgar,apgar_grimace",0,No response to stimulation,Sin respuesta a la estimulación,0
selection,"gnuhealth.neonatal.apgar,apgar_grimace",0,cry or pull away when stimulated,llora o empuja al estimularlo,0
selection,"gnuhealth.neonatal.apgar,apgar_grimace",0,grimace when stimulated,muecas al estimularlo,0
selection,"gnuhealth.neonatal.apgar,apgar_pulse",0,< 100,<100,0
selection,"gnuhealth.neonatal.apgar,apgar_pulse",0,> 100,> 100,0
selection,"gnuhealth.neonatal.apgar,apgar_pulse",0,Absent,Ausente,0
selection,"gnuhealth.neonatal.apgar,apgar_respiration",0,Absent,Ausente,0
selection,"gnuhealth.neonatal.apgar,apgar_respiration",0,Weak / Irregular,Débil / Irregular,0
selection,"gnuhealth.neonatal.apgar,apgar_respiration",0,strong,fuerte,0
selection,"gnuhealth.newborn,sex",0,Ambiguous genitalia,Genitales ambiguos,0
selection,"gnuhealth.newborn,sex",0,Female,Femenino,0
selection,"gnuhealth.newborn,sex",0,Male,Masculino,0
selection,"gnuhealth.patient.psc,psc_absent_from_school",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_absent_from_school",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_absent_from_school",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_aches_pains",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_aches_pains",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_aches_pains",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_act_as_younger",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_act_as_younger",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_act_as_younger",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_acts_as_driven_by_motor",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_acts_as_driven_by_motor",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_acts_as_driven_by_motor",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_afraid_of_new_situations",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_afraid_of_new_situations",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_afraid_of_new_situations",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_blames_others",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_blames_others",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_blames_others",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_daydreams_too_much",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_daydreams_too_much",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_daydreams_too_much",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_distracted_easily",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_distracted_easily",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_distracted_easily",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_does_not_get_people_feelings",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_does_not_get_people_feelings",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_does_not_get_people_feelings",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_does_not_listen_to_rules",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_does_not_listen_to_rules",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_does_not_listen_to_rules",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_does_not_show_feelings",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_does_not_show_feelings",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_does_not_show_feelings",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_down_on_self",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_down_on_self",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_down_on_self",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_feels_hopeless",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_feels_hopeless",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_feels_hopeless",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_feels_is_bad_child",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_feels_is_bad_child",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_feels_is_bad_child",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_fidgety",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_fidgety",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_fidgety",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_fights_with_others",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_fights_with_others",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_fights_with_others",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_gets_hurt_often",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_gets_hurt_often",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_gets_hurt_often",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_having_less_fun",0,Never,Nuca,0
selection,"gnuhealth.patient.psc,psc_having_less_fun",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_having_less_fun",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_irritable_angry",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_irritable_angry",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_irritable_angry",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_less_interest_in_school",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_less_interest_in_school",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_less_interest_in_school",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_less_interested_in_friends",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_less_interested_in_friends",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_less_interested_in_friends",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_refuses_to_share",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_refuses_to_share",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_refuses_to_share",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_sad_unhappy",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_sad_unhappy",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_sad_unhappy",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_school_grades_dropping",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_school_grades_dropping",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_school_grades_dropping",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_spend_time_alone",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_spend_time_alone",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_spend_time_alone",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_takes_things_from_others",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_takes_things_from_others",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_takes_things_from_others",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_takes_unnecesary_risks",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_takes_unnecesary_risks",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_takes_unnecesary_risks",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_teases_others",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_teases_others",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_teases_others",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_tires_easily",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_tires_easily",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_tires_easily",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_trouble_concentrating",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_trouble_concentrating",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_trouble_concentrating",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_trouble_sleeping",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_trouble_sleeping",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_trouble_sleeping",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_trouble_with_teacher",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_trouble_with_teacher",0,Often,A menudo,0
selection,"gnuhealth.patient.psc,psc_trouble_with_teacher",0,Sometimes,A veces,0
selection,"gnuhealth.patient.psc,psc_visit_doctor_finds_ok",0,Never,Nunca,0
selection,"gnuhealth.patient.psc,psc_visit_doctor_finds_ok",0,Often,A menudo,0
