type,name,res_id,src,value,fuzzy
field,"medical.patient,abortions",0,Abortions,Abortos,0
field,"medical.patient,born_alive",0,Born Alive,Nacidos vivos,0
field,"medical.patient,breast_self_examination",0,Breast self-examination,Auto-examen de mama,0
field,"medical.patient,colposcopy",0,Colposcopy,Colposcopía,0
field,"medical.patient,colposcopy_last",0,Last colposcopy,Última colposcopía,0
field,"medical.patient,currently_pregnant",0,Currently Pregnant,Embarazada,0
field,"medical.patient,deaths_1st_week",0,Deceased during 1st week,Fallecido en la primera semana,0
field,"medical.patient,deaths_2nd_week",0,Deceased after 2nd week,Fallecido después de la segunda semana,0
field,"medical.patient,fertile",0,Fertile,Fértil,0
field,"medical.patient,full_term",0,Full Term,A término,0
field,"medical.patient,gpa",0,GPA,GPA,0
field,"medical.patient,gravida",0,Gravida,Gravida,0
field,"medical.patient,mammography",0,Mammography,Mamografía,0
field,"medical.patient,mammography_last",0,Last mammography,Última mamografía,0
field,"medical.patient,menarche",0,Menarche age,Edad de menarca,0
field,"medical.patient,menopausal",0,Menopausal,Menopáusica,0
field,"medical.patient,menopause",0,Menopause age,Edad de menopáusia,0
field,"medical.patient,pap_test",0,PAP test,PAP test,0
field,"medical.patient,pap_test_last",0,Last PAP test,Último PAP test,0
field,"medical.patient,perinatal",0,Perinatal Info,Información perinatal,0
field,"medical.patient,premature",0,Premature,Prematuro,0
field,"medical.perinatal,abortion",0,Abortion,Aborto,0
field,"medical.perinatal,admission_code",0,Admission Code,Código de ingreso,0
field,"medical.perinatal,admission_date",0,Admission date,Fecha de ingreso,0
field,"medical.perinatal,dismissed",0,Dismissed from hospital,Alta del hospital,0
field,"medical.perinatal,dystocia",0,Dystocia,Distocia,0
field,"medical.perinatal,episiotomy",0,Episiotomy,Episiotomía,0
field,"medical.perinatal,fetus_presentation",0,Fetus Presentation,Presentación del feto,0
field,"medical.perinatal,forceps",0,Use of forceps,Uso de Forceps,0
field,"medical.perinatal,gestational_days",0,Gestational days,Días de gestación,0
field,"medical.perinatal,gestational_weeks",0,Gestational weeks,Semanas de gestación,0
field,"medical.perinatal,gravida_number",0,Gravida #,Gravida #,0
field,"medical.perinatal,medication",0,Medication and anesthesics,Medicación y anestésicos,0
field,"medical.perinatal,monitoring",0,Monitors,Monitores,0
field,"medical.perinatal,mother_deceased",0,Deceased,Fallecido,0
field,"medical.perinatal,name",0,Patient ID,ID del paciente,0
field,"medical.perinatal,notes",0,Notes,Notas,0
field,"medical.perinatal,place_of_death",0,Place of Death,Lugar de fallecimiento,0
field,"medical.perinatal,placenta_incomplete",0,Incomplete Placenta,Placenta incompleta,0
field,"medical.perinatal,placenta_retained",0,Retained Placenta,Placenta retenida,0
field,"medical.perinatal,prenatal_evaluations",0,Prenatal evaluations,Evaluaciones prenatales,0
field,"medical.perinatal,puerperium_monitor",0,Puerperium monitor,Monitor de puerperio,0
field,"medical.perinatal,rec_name",0,Name,Nombre del campo,0
field,"medical.perinatal,start_labor_mode",0,Labor mode,Tipo de Parto,0
field,"medical.perinatal,vaginal_tearing",0,Vaginal tearing,Desgarro Vaginal,0
field,"medical.perinatal.monitor,bleeding",0,Bleeding,Hemorragia,0
field,"medical.perinatal.monitor,contractions",0,Contractions,Contracciones,0
field,"medical.perinatal.monitor,date",0,Date and Time,Fecha y hora,0
field,"medical.perinatal.monitor,diastolic",0,Diastolic Pressure,Presión Diastólica,0
field,"medical.perinatal.monitor,dilation",0,Cervix dilation,Dilatación de cuello uterino,0
field,"medical.perinatal.monitor,f_frequency",0,Fetus Heart Frequency,Frecuencia cardiaca fetal,0
field,"medical.perinatal.monitor,fetus_position",0,Fetus Position,Posición del feto,0
field,"medical.perinatal.monitor,frequency",0,Mother's Heart Frequency,Frecuencia cardiaca de la madre,0
field,"medical.perinatal.monitor,fundal_height",0,Fundal Height,Altura del Fundus,0
field,"medical.perinatal.monitor,meconium",0,Meconium,Meconio,0
field,"medical.perinatal.monitor,name",0,Patient ID,ID del paciente,0
field,"medical.perinatal.monitor,rec_name",0,Name,Nombre del campo,0
field,"medical.perinatal.monitor,systolic",0,Systolic Pressure,Presión Sistólica,0
field,"medical.puerperium.monitor,date",0,Date and Time,Fecha y hora,0
field,"medical.puerperium.monitor,diastolic",0,Diastolic Pressure,Presión Diastólica,0
field,"medical.puerperium.monitor,frequency",0,Heart Frequency,Frecuencia cardiaca,0
field,"medical.puerperium.monitor,lochia_amount",0,Lochia amount,Cantidad de Loquios,0
field,"medical.puerperium.monitor,lochia_color",0,Lochia color,Color de Loquios,0
field,"medical.puerperium.monitor,lochia_odor",0,Lochia odor,Olor de Loquios,0
field,"medical.puerperium.monitor,name",0,Patient ID,ID del paciente,0
field,"medical.puerperium.monitor,rec_name",0,Name,Nombre del campo,0
field,"medical.puerperium.monitor,systolic",0,Systolic Pressure,Presión Sistólica,0
field,"medical.puerperium.monitor,temperature",0,Temperature,Temperatura (centígrados),0
field,"medical.puerperium.monitor,uterus_involution",0,Fundal Height,Altura del Fundus,0
help,"medical.patient,breast_self_examination",0,Check if patient does and knows how to self examine her breasts,Marcar si realiza y sabe examinarse las mamas,0
