type,name,res_id,src,value,fuzzy
field,"medical.drugs_recreational,addiction_level",0,Dependence,Dependencia,0
field,"medical.drugs_recreational,category",0,Category,Categoría,0
field,"medical.drugs_recreational,dea_schedule_i",0,DEA schedule I,Nivel DEA I,0
field,"medical.drugs_recreational,dea_schedule_ii",0,II,II,0
field,"medical.drugs_recreational,dea_schedule_iii",0,III,III,0
field,"medical.drugs_recreational,dea_schedule_iv",0,IV,IV,0
field,"medical.drugs_recreational,dea_schedule_v",0,V,V,0
field,"medical.drugs_recreational,dependence_level",0,Dependence,Dependencia,0
field,"medical.drugs_recreational,info",0,Extra Info,Información Adicional,0
field,"medical.drugs_recreational,intoxication_level",0,Intoxication,Intoxicación,0
field,"medical.drugs_recreational,legal_status",0,Legal Status,Estatus legal,0
field,"medical.drugs_recreational,name",0,Name,Nombre del campo,0
field,"medical.drugs_recreational,rec_name",0,Name,Nombre,0
field,"medical.drugs_recreational,reinforcement_level",0,Reinforcement,Refuerzo,0
field,"medical.drugs_recreational,route_inhaling",0,Smoke / Inhale,Fumado / Inhalado,0
field,"medical.drugs_recreational,route_injection",0,Injection,Inyección,0
field,"medical.drugs_recreational,route_oral",0,Oral,Oral,0
field,"medical.drugs_recreational,route_popping",0,Skin Popping,Inyección subcutánea,0
field,"medical.drugs_recreational,route_sniffing",0,Sniffing,Sniffing,0
field,"medical.drugs_recreational,street_name",0,Street names,Nombres callejeros,0
field,"medical.drugs_recreational,tolerance_level",0,Tolerance,Tolerancia,0
field,"medical.drugs_recreational,toxicity",0,Toxicity,Toxicidad,0
field,"medical.drugs_recreational,withdrawal_level",0,Withdrawal,Abstinencia,0
field,"medical.patient,age_quit_drinking",0,Age quit drinking ,Edad abandono alcohol,0
field,"medical.patient,age_quit_drugs",0,Age quit drugs ,Edad abandono de drogas,0
field,"medical.patient,age_quit_smoking",0,Age of quitting,Edad de abandono,0
field,"medical.patient,age_start_drinking",0,Age started to drink ,Edad que comenzó a beber alcohol,0
field,"medical.patient,age_start_drugs",0,Age started drugs ,Edad que se inició en las drogas,0
field,"medical.patient,age_start_smoking",0,Age started to smoke,Edad inicio tabaquismo,0
field,"medical.patient,alcohol",0,Drinks Alcohol,Bebe Alcohol,0
field,"medical.patient,alcohol_beer_number",0,Beer / day,Cervezas diarias,0
field,"medical.patient,alcohol_liquor_number",0,Liquor / day,Licor / día,0
field,"medical.patient,alcohol_wine_number",0,Wine / day,Vasos de vino / día,0
field,"medical.patient,anticonceptive",0,Anticonceptive Method,Método anticonceptivo,0
field,"medical.patient,car_child_safety",0,Car Child Safety,Seguridad vial infantil,0
field,"medical.patient,car_revision",0,Car Revision,Revisión del automóvil,0
field,"medical.patient,car_seat_belt",0,Seat belt,Cinturón de seguridad,0
field,"medical.patient,coffee",0,Coffee,Café,0
field,"medical.patient,coffee_cups",0,Cups per day,Tazas por día,0
field,"medical.patient,diet",0,Currently on a diet,Actualmente en dieta,0
field,"medical.patient,diet_info",0,Diet info,Información de la dieta,0
field,"medical.patient,drug_iv",0,IV drug user,Drogadicto Intravenoso,0
field,"medical.patient,drug_usage",0,Drug Habits,Drogadicción,0
field,"medical.patient,eats_alone",0,Eats alone,Come solo/a,0
field,"medical.patient,ex_alcoholic",0,Ex alcoholic,Ex-alcohólico,0
field,"medical.patient,ex_drug_addict",0,Ex drug addict,Ex drogadicto,0
field,"medical.patient,ex_smoker",0,Ex-smoker,Ex-fumador,0
field,"medical.patient,exercise",0,Exercise,Ejercicio,0
field,"medical.patient,exercise_minutes_day",0,Minutes / day,Minutos / día,0
field,"medical.patient,first_sexual_encounter",0,Age first sexual encounter,Edad de su primer acto sexual,0
field,"medical.patient,helmet",0,Uses helmet,Usa el casco,0
field,"medical.patient,home_safety",0,Home safety,Seguridad en hogar,0
field,"medical.patient,lifestyle_info",0,Extra Information,Información Adicional,0
field,"medical.patient,motorcycle_rider",0,Motorcycle Rider,Motociclista,0
field,"medical.patient,number_of_meals",0,Meals per day,Comidas por día,0
field,"medical.patient,prostitute",0,Prostitute,Prostituto/a,0
field,"medical.patient,recreational_drugs",0,Drugs,Drogas,0
field,"medical.patient,salt",0,Salt,Sal,0
field,"medical.patient,second_hand_smoker",0,Passive smoker,Fumador pasivo,0
field,"medical.patient,sex_anal",0,Anal Sex,Sexo Anal,0
field,"medical.patient,sex_oral",0,Oral Sex,Sexo Oral,0
field,"medical.patient,sex_with_prostitutes",0,Sex with prostitutes,Sexo con prostitutas,0
field,"medical.patient,sexual_partners",0,Sexual Partners,Partners sexuales,0
field,"medical.patient,sexual_partners_number",0,Number of sexual partners,Número de partners sexuales,0
field,"medical.patient,sexual_practices",0,Sexual Practices,Prácticas sexuales,0
field,"medical.patient,sexual_preferences",0,Sexual Preferences,Preferencias sexuales,0
field,"medical.patient,sexuality_info",0,Extra Information,Información Adicional,0
field,"medical.patient,sleep_during_daytime",0,Sleeps at daytime,Duerme durante el día,0
field,"medical.patient,sleep_hours",0,Hours of sleep,Horas de sueño,0
field,"medical.patient,smoking",0,Smokes,Fuma,0
field,"medical.patient,smoking_number",0,Cigarretes a day,Cigarrillos al día,0
field,"medical.patient,soft_drinks",0,Soft drinks (sugar),Refrescos azucarados,0
field,"medical.patient,traffic_laws",0,Obeys Traffic Laws,Obedece normas de tráfico,0
field,"medical.patient.recreational_drugs,patient",0,Patient,Paciente,0
field,"medical.patient.recreational_drugs,rec_name",0,Name,Nombre,0
field,"medical.patient.recreational_drugs,recreational_drug",0,Recreational Drug,Droga recreacional,0
help,"medical.drugs_recreational,dea_schedule_i",0,"Schedule I and II drugs have a high potential for abuse. They require greater storage security and have a quota on manufacturing, among other restrictions. Schedule I drugs are available for research only and have no approved medical use; Schedule II drugs are available only by prescription (unrefillable) and require a form for ordering. Schedule III and IV drugs are available by prescription, may have five refills in 6 months, and may be ordered orally. Some Schedule V drugs are available over the counter","Drogas de nivel I y II de la DEA tienen un alto potencial de abuso. Requieren mayores medidas de seguridad de almacenamiento y tienen una quota en su fabricación, entre otras restricciones. Nivel I están disponibles sólo para investigación, sólo por receta (sin recarga) y requieren un formulario para pedirlo. Nivel III y IV están disponible bajo receta, se pueden recargar cada 6 meses, y se pueden pedir sin formulario. Algunas drogas de nivel V están disponibles sin receta médica.",0
help,"medical.drugs_recreational,dea_schedule_ii",0,"Schedule I and II drugs have a high potential for abuse.They require greater storage security and have a quota onmanufacturing, among other restrictions. Schedule I drugs areavailable for research only and have no approved medical use; Schedule II drugs are available only by prescription (unrefillable) and require a form for ordering. Schedule III and IV drugs are available by prescription, may have fiverefills in 6 months, and may be ordered orally. Some Schedule V drugs are available over the counter","Drogas de nivel I y II de la DEA tienen un alto potencial de abuso. Requieren mayores medidas de seguridad de almacenamiento y tienen una quota en su fabricación, entre otras restricciones. Nivel I están disponibles sólo para investigación, sólo por receta (sin recarga) y requieren un formulario para pedirlo. Nivel III y IV están disponible bajo receta, se pueden recargar cada 6 meses, y se pueden pedir sin formulario. Algunas drogas de nivel V están disponibles sin receta médica.",0
