type,name,res_id,src,value,fuzzy
field,"medical.patient,domestic_violence",0,Domestic violence,Violencia Familiar,0
field,"medical.patient,drug_addiction",0,Drug addiction,Addicciones,0
field,"medical.patient,education",0,Education Level,Nivel académico,0
field,"medical.patient,electricity",0,Electrical supply,Electricidad,0
field,"medical.patient,fam_apgar_affection",0,Family affection,Afectividad Familiar,0
field,"medical.patient,fam_apgar_decisions",0,Decision making,Toma de decisiones,0
field,"medical.patient,fam_apgar_discussion",0,Problems discussion,Discusión de los problemas,0
field,"medical.patient,fam_apgar_help",0,Help from family,Ayuda familiar,0
field,"medical.patient,fam_apgar_score",0,Score,Puntuación,0
field,"medical.patient,fam_apgar_timesharing",0,Time sharing,Compartir el tiempo,0
field,"medical.patient,gas",0,Gas supply,Gas,0
field,"medical.patient,hostile_area",0,Hostile Area,Área Hostil,0
field,"medical.patient,hours_outside",0,Hours outside home,Horas fuera de casa,0
field,"medical.patient,housing",0,Housing conditions,Condiciones habitacionales,0
field,"medical.patient,income",0,Income,Ingreso,0
field,"medical.patient,internet",0,Internet,Internet,0
field,"medical.patient,occupation",0,Occupation,Profesión,0
field,"medical.patient,prison_current",0,Is currently in prison,Actualmente en prisión,0
field,"medical.patient,prison_past",0,Has been in prison,Ha estado en prisión,0
field,"medical.patient,relative_in_prison",0,Relative in prison,Familiar en prisión,0
field,"medical.patient,school_withdrawal",0,School withdrawal,Abandono escolar,0
field,"medical.patient,ses",0,Socioeconomics,Nivel Socioeconómico,0
field,"medical.patient,ses_notes",0,Extra info,Información adicional,0
field,"medical.patient,sewers",0,Sanitary Sewers,Cloacas / Alcantarillado,0
field,"medical.patient,sexual_abuse",0,Sexual abuse,Abuso sexual,0
field,"medical.patient,single_parent",0,Single parent family,Falta de padre o madre,0
field,"medical.patient,teenage_pregnancy",0,Teenage pregnancy,Embarazo adolescente,0
field,"medical.patient,telephone",0,Telephone,Teléfono,0
field,"medical.patient,television",0,Television,Televisión,0
field,"medical.patient,trash",0,Trash recollection,Recolección de basura,0
field,"medical.patient,water",0,Running Water,Agua potable,0
field,"medical.patient,working_children",0,Working children,Trabajo infantil,0
field,"medical.patient,works_at_home",0,Works at home,Trabaja en casa,0
help,"medical.patient,education",0,Education Level,Nivel académico,0
