type,name,res_id,src,value,fuzzy
field,"medical.operation,name",0,Surgery,Cirugía,0
field,"medical.operation,notes",0,Notes,Notas,0
field,"medical.operation,procedure",0,Code,Código,0
field,"medical.operation,rec_name",0,Name,Nombre del campo,0
field,"medical.patient,surgery",0,Surgeries,Cirugías,0
field,"medical.surgery,admission",0,Admission,Admisión,0
field,"medical.surgery,anesthetist",0,Anesthetist,Anestesista,0
field,"medical.surgery,classification",0,Surgery Classification,Clasificación de la cirugía,0
field,"medical.surgery,code",0,Code,Código,0
field,"medical.surgery,date",0,Date of the surgery,Fecha de la cirugía,0
field,"medical.surgery,description",0,Description,Descripción,0
field,"medical.surgery,extra_info",0,Extra Info,Información Adicional,0
field,"medical.surgery,operating_room",0,Operating Room,Quirófano,0
field,"medical.surgery,pathology",0,Base condition,Condición de base,0
field,"medical.surgery,patient",0,Patient ID,ID del paciente,0
field,"medical.surgery,preop_antibiotics",0,Antibiotic Prophylaxis,Profilaxis antibiótica,0
field,"medical.surgery,preop_bleeding_risk",0,Risk of Massive bleeding,Riesgo de hemorragia masiva,0
field,"medical.surgery,preop_mallampati",0,Mallampati Score,Score Mallampati,0
field,"medical.surgery,preop_oximeter",0,Pulse Oximeter in place,Saturómetro digital colocado,0
field,"medical.surgery,preop_site_marking",0,Surgical Site Marking,Marcado del área quirúrgica,0
field,"medical.surgery,preop_sterility",0,Sterility confirmed,Esterilidad verificada,0
field,"medical.surgery,procedures",0,Procedures,Procedimientos,0
field,"medical.surgery,rec_name",0,Name,Nombre del campo,0
field,"medical.surgery,surgeon",0,Surgeon,Cirujano,0
help,"medical.operation,procedure",0,"Procedure Code, for example ICD-10-PCS Code 7-character string","Código del procedimiento, por ejemplo los 7 caracteres del código ICD-10-PCS",0
help,"medical.surgery,anesthetist",0,Anesthetist in charge,Anestesista a cargo,0
help,"medical.surgery,code",0,Health Center Unique code,Código único del centro de salud,0
help,"medical.surgery,pathology",0,Base Condition / Reason,Condición de base / Motivo,0
help,"medical.surgery,preop_antibiotics",0,Prophylactic antibiotic treatment within the last 60 minutes,Tratamiento antibiótico profiláctico en los últimos 60 minutos,0
help,"medical.surgery,preop_bleeding_risk",0,"Check this box if patient has a risk of loosing more than 500 ml in adults of over 7ml/kg in infants. If so, make sure that intravenous access and fluids are available","Marque esta casilla si el paciente tiene riesgo de perder más de 500 ml en adultos y más de 7ml/kg en niños. Si es así, asegúrese que están disponibles las vías intravenosas y fluidos.",0
help,"medical.surgery,preop_oximeter",0,Check this box when verified the pulse oximeter is in place and functioning,Marque esta casilla cuando se haya verificado que el saturómetro está colocado y funcionando,0
help,"medical.surgery,preop_site_marking",0,The surgeon has marked the surgical incision,El cirujano ha marcado la incisión quirúrgica,0
help,"medical.surgery,preop_sterility",0,Nursing team has confirmed sterility of the devices and room,Enfermería ha confirmado la esterilidad de los dispositivos y del quirófano,0
help,"medical.surgery,procedures",0,List of the procedures in the surgery. Please enter the first one as the main procedure,Lista de procedimientos en la cirugía. Introduzca el primero como el procedimiento principal,0
help,"medical.surgery,surgeon",0,Surgeon who did the procedure,Cirujano que realizó el procedimiento,0
model,"medical.operation,name",0,Operation - Surgical Procedures,Operación - Procedimientos quirúrgicos,0
model,"medical.surgery,name",0,Surgery Functionality,Funcionalidad para cirugía ,0
selection,"medical.surgery,classification",0,Optional,Opcional,0
selection,"medical.surgery,classification",0,Required,Necesario,0
selection,"medical.surgery,classification",0,Urgent,Urgente,0
selection,"medical.surgery,preop_mallampati",0,"Full visibility of tonsils, uvula and soft palate","Visibilidad total de amígdala, úvula y paladar blando",0
selection,"medical.surgery,preop_mallampati",0,Only Hard Palate visible,Visible únicamente el paladar duro,0
selection,"medical.surgery,preop_mallampati",0,Soft and hard palate and base of the uvula are visible,"Paladar blando, duro y base de la úvula visibles",0
selection,"medical.surgery,preop_mallampati",0,"Visibility of hard and soft palate, upper portion of tonsils and uvula","Visibilidad de paladar duro, blando, porción superior de las amígdalas y úvula",0
view,medical.operation,0,Operation,Operación,0
view,medical.operation,0,Operation Details / Incidents,Detalles de la Operación,0
view,medical.patient,0,Surgeries,Cirugías,0
view,medical.procedure,0,Procedure,Procedimiento,0
view,medical.surgery,0,Details,Detalles,0
view,medical.surgery,0,Surgery,Cirugía,0
view,medical.surgery,0,Surgical Safety Checklist,Lista de Control para Seguridad Quirúrgica,0
